影片名,上映年份,国家,评分,评分人数
寄生虫,2019,韩国,8.8,1283425
一个叫欧维的男人决定去死,2015,瑞典,8.9,429268
玛丽和马克思,2009,澳大利亚 美国,8.9,403869
玩具总动员3,2010,美国,8.9,478229
未麻的部屋,1997,日本,9.1,298743
傲慢与偏见,2005,法国 英国 美国,8.7,739202
神偷奶爸,2010,美国 法国,8.6,893428
大鱼,2003,美国,8.8,536475
告白,2010,日本,8.8,638166
釜山行,2016,韩国,8.6,1117647
被解救的姜戈,2012,美国,8.8,568375
哈利·波特与火焰杯,2005,英国 美国,8.7,595235
阳光姐妹淘,2011,韩国,8.8,565328
射雕英雄传之东成西就,1993,中国香港,8.7,595078
哪吒闹海,1979,中国大陆,9.1,239746
新世界,2013,韩国,8.9,380301
我是山姆,2001,美国,9.0,315178
恐怖直播,2013,韩国,8.7,610823
头号玩家,2018,美国,8.7,1281709
血战钢锯岭,2016,澳大利亚 美国,8.7,740721
模仿游戏,2014,英国 美国,8.8,601812
喜宴,1993,中国台湾 美国,9.0,329852
七武士,1954,日本,9.3,182865
花样年华,2000,中国香港,8.7,556986
头脑特工队,2015,美国,8.8,566381
黑客帝国3：矩阵革命,2003,美国,8.8,420387
九品芝麻官,1994,中国香港 中国大陆,8.7,614124
电锯惊魂,2004,美国,8.8,493883
三块广告牌,2017,美国 英国,8.7,773047
你的名字。,2016,日本,8.5,1299380
达拉斯买家俱乐部,2013,美国,8.8,425787
卢旺达饭店,2004,英国 南非 意大利 美国,8.9,305932
惊魂记,1960,美国,9.0,262396
疯狂原始人,2013,美国,8.7,791675
上帝之城,2002,巴西 法国,9.0,284697
谍影重重3,2007,美国 德国,8.8,393652
心迷宫,2014,中国大陆,8.7,480915
英雄本色,1986,中国香港,8.6,498141
风之谷,1984,日本,8.9,336619
纵横四海,1991,中国香港,8.8,393103
海街日记,2015,日本,8.8,414569
色，戒,2007,中国台湾 中国大陆 美国 中国香港,8.6,714518
岁月神偷,2010,中国香港 中国大陆,8.7,550502
记忆碎片,2000,美国,8.7,567505
爱在午夜降临前,2013,美国 希腊,8.9,363852
忠犬八公物语,1987,日本,9.2,180656
茶馆,1982(中国大陆),中国大陆,9.5,115327
绿里奇迹,1999,美国,8.9,300234
荒蛮故事,2014,阿根廷 西班牙,8.8,413384
爆裂鼓手,2014,美国,8.7,543544
小偷家族,2018,日本,8.7,770212
贫民窟的百万富翁,2008,英国,8.6,706824
无敌破坏王,2012,美国,8.7,501165
疯狂的石头,2006,中国大陆 中国香港,8.5,763639
东邪西毒,1994,中国香港 中国台湾,8.6,543257
真爱至上,2003,英国 美国 法国,8.6,684124
雨中曲,1952,美国,9.1,203688
冰川时代,2002,美国,8.6,576086
恐怖游轮,2009,英国 澳大利亚,8.5,789660
你看起来好像很好吃,2010,日本,8.9,313259
2001太空漫游,1968,英国 美国,8.9,292723
黑天鹅,2010,美国,8.6,746436
魔女宅急便,1989,日本,8.7,427916
无间道2,2003,中国香港,8.7,432074
遗愿清单,2007,美国,8.7,414240
牯岭街少年杀人事件,1991,中国台湾,8.9,268361
雨人,1988,美国,8.7,380937
恋恋笔记本,2004,美国,8.6,626858
背靠背，脸对脸,1994,中国大陆 中国香港,9.5,111459
小丑,2019,美国 加拿大,8.7,940985
大佛普拉斯,2017,中国台湾,8.7,414348
可可西里,2004,中国大陆 中国香港,8.9,282576
城市之光,1931,美国,9.3,133579
东京教父,2003,日本,9.0,199132
源代码,2011,美国 加拿大,8.5,786789
萤火虫之墓,1988,日本,8.7,386722
虎口脱险,1966,法国 英国,8.9,236766
初恋这件小事,2010,泰国,8.5,935709
人工智能,2001,美国 英国,8.7,415555
海边的曼彻斯特,2016,美国,8.6,476673
罗生门,1950,日本,8.8,292594
